Species,Average_Length_m,Maximum_Length_m,Average_Weight_kg,Maximum_Weight_kg,Lifespan_years,Swimming_Speed_kmh,Bite_Force_N,Gestation_Period_months,Number_of_Teeth,Diet_kg_per_week
Great White Shark,4.59,6.81,1019.25,2180.29,71,56.34,17981.54,12,291,190.36
Sand Tiger Shark,2.71,2.98,144.69,327.66,15,21.92,2849.02,8,180,45.51
Great White Shark,4.41,6.35,1090.19,2295.4,70,50.8,16624.95,11,306,191.58
Sand Tiger Shark,3.28,3.03,172.16,303.87,13,22.23,3187.8,9,205,50.71
Great White Shark,4.5,6.69,1084.09,2215.87,68,61.11,18739.49,12,288,196.7
Sand Tiger Shark,2.74,3.3,152.04,276.62,16,25.36,2860.12,8,187,45.42
Great White Shark,4.95,6.34,1156.27,2196.03,73,53.49,16962.62,13,315,216.08
Sand Tiger Shark,2.9,3.41,148.47,295.48,15,23.11,3292.96,8,209,47.05
Great White Shark,4.62,5.8,1124.83,2199.67,68,60.29,17000.9,10,300,209.15
Sand Tiger Shark,3.26,3.33,153.21,277.89,14,24.55,3223.22,9,202,47.9
Great White Shark,4.83,6.06,1128.89,2190.72,68,51.1,16481.33,13,285,203.52
Sand Tiger Shark,3.1,3.3,174.83,312.69,13,23.34,3124.15,9,206,50.05
Great White Shark,4.89,5.81,1130.17,2339.32,67,58.64,16886.85,10,270,203.31
Sand Tiger Shark,3.06,3.27,161.56,284.31,13,25.23,3259.03,8,212,49.26
Great White Shark,4.34,6.78,1058.76,2129.17,69,52.22,17682.04,10,279,218.64
Sand Tiger Shark,2.74,2.9,147.61,290.47,14,21.78,2920.87,8,208,50.52
Great White Shark,4.22,6.68,1097.74,2228.33,77,54.1,16830.44,13,296,218.56
Sand Tiger Shark,2.85,3.39,170.01,313.84,14,26.28,2913.14,9,194,48.08
Great White Shark,4.49,6.82,1019.44,2176.12,66,57.29,16225.21,12,279,197.28
Sand Tiger Shark,3.1,3.41,169.34,327.47,16,22.98,2951.67,9,197,47.44
Great White Shark,4.17,6.82,1041.91,2327.82,77,61.41,19119.02,13,311,205.46
Sand Tiger Shark,2.88,3.16,168.97,311.74,16,21.94,2814.04,9,201,51.36
Great White Shark,4.81,6.86,1014.9,2172.06,66,54.5,17681.18,11,324,206.93
Sand Tiger Shark,3.05,2.9,149.08,277.65,16,21.93,3213.8,9,207,47.21
Great White Shark,4.21,6.29,1015.36,2367.96,69,61.54,17397.03,13,317,219.3
Sand Tiger Shark,2.82,2.94,175.82,279.49,13,24.21,3210.12,9,200,51.9
Great White Shark,4.78,6.37,994.09,2259.01,73,56.87,16748.82,13,316,186.62
Sand Tiger Shark,3.11,3.44,158.53,324.05,13,26.03,3063.57,8,200,51.2
Great White Shark,4.25,6.8,1065.09,2066.14,76,58.68,17601.08,11,312,218.51
Sand Tiger Shark,2.77,3.12,151.91,281.16,16,22.11,3186.98,8,213,52.44
Great White Shark,4.91,6.76,1072.87,2266.52,70,55.21,17104.77,11,328,203.17
Sand Tiger Shark,3.09,3.14,171.61,284.95,15,25.73,3191.4,9,211,46.45
Great White Shark,4.07,5.78,1196.63,2314.19,66,54.14,18752.72,13,314,219.42
Sand Tiger Shark,3.07,3.06,164.03,305.52,15,24.26,2746.53,8,181,49.02
Great White Shark,4.42,6.43,1030.1,2236.84,63,57.24,17223.81,12,288,194.8
Sand Tiger Shark,2.9,3.36,167.08,272.18,16,25.67,2986.71,8,210,47.03
Great White Shark,4.16,7.0,1202.57,2309.64,74,59.67,19180.14,13,270,217.24
Sand Tiger Shark,2.99,3.16,152.53,296.4,14,24.92,3026.28,9,185,52.56
Great White Shark,4.57,6.3,1104.29,2390.23,65,59.83,19361.33,13,282,188.75
Sand Tiger Shark,3.05,3.19,174.31,291.7,13,24.71,3049.78,9,219,47.54
Great White Shark,4.71,6.95,1113.55,2399.72,72,53.66,18391.91,12,281,219.66
Sand Tiger Shark,3.29,3.42,171.83,296.0,14,26.32,2972.73,9,182,45.82
Great White Shark,4.87,6.24,1066.9,2023.01,66,58.22,19537.77,11,281,204.47
Sand Tiger Shark,2.99,3.28,174.1,272.91,14,21.76,3272.38,9,218,46.85
Great White Shark,4.48,6.87,1182.28,1985.75,67,61.0,19235.64,12,318,201.69
Sand Tiger Shark,3.05,3.43,151.02,323.49,14,22.91,3289.96,8,207,54.78
Great White Shark,4.37,6.62,1147.11,2263.6,74,58.75,18715.52,11,305,191.53
Sand Tiger Shark,3.19,3.01,148.8,273.96,13,24.8,2812.07,9,213,46.46
Great White Shark,4.87,6.08,1189.99,2035.35,68,60.36,19409.67,11,304,193.25
Sand Tiger Shark,3.27,3.23,173.34,290.69,15,23.74,3022.48,8,210,51.48
Great White Shark,4.05,5.85,1180.09,2363.74,67,58.4,18841.55,10,318,213.84
Sand Tiger Shark,2.99,3.41,170.51,324.53,16,24.69,3261.84,8,203,49.76
Great White Shark,4.05,6.99,1126.2,2288.93,73,52.11,17197.66,12,321,209.14
Sand Tiger Shark,3.28,3.18,168.88,311.13,14,25.23,2866.65,9,203,54.04
Great White Shark,4.9,6.23,1041.93,2111.47,63,55.41,16673.91,13,315,201.18
Sand Tiger Shark,2.79,3.46,150.35,283.12,14,24.78,2912.02,8,189,51.35
Great White Shark,4.6,6.01,1171.96,2384.83,71,53.92,17255.84,10,273,203.17
Sand Tiger Shark,2.76,3.39,166.89,295.67,14,22.01,3003.81,8,194,52.68
Great White Shark,4.6,6.5,1095.34,2016.44,73,57.81,17822.69,13,317,193.53
Sand Tiger Shark,2.86,3.24,172.41,281.68,13,24.01,3256.62,8,191,48.65
Great White Shark,4.47,6.88,1032.25,2284.16,72,52.56,17754.26,13,325,191.3
Sand Tiger Shark,3.04,3.3,147.46,308.08,16,23.55,3203.33,8,214,47.33
Great White Shark,4.07,6.63,1081.66,2328.84,75,60.69,18208.1,10,303,195.05
Sand Tiger Shark,3.21,3.16,145.45,301.19,13,23.44,2983.45,8,219,51.87
Great White Shark,4.74,6.31,1148.4,2390.78,71,60.28,19456.01,10,273,197.52
Sand Tiger Shark,3.06,3.32,165.4,281.76,16,22.42,3066.47,8,183,47.44
Great White Shark,4.34,5.84,1102.81,2394.13,69,55.27,19535.31,11,304,208.65
Sand Tiger Shark,2.78,3.2,165.4,308.26,15,25.42,2840.17,8,218,51.61
Great White Shark,4.25,6.91,990.49,2189.23,65,54.93,17429.64,13,311,216.01
Sand Tiger Shark,3.09,3.13,149.68,295.09,14,25.69,3079.6,8,213,53.01
Great White Shark,4.15,5.96,1104.38,2011.66,72,52.61,18011.13,12,286,215.43
